swe_id,clause,requirement,source_document,source_url
SWE-002,2.1.1.1,The NASA OCE shall lead and maintain a NASA Software Engineering Initiative to advance software engineering practices.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-004,2.1.1.2,The NASA OCE shall periodically benchmark each Center’s software engineering capability against requirements in this directive.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-152,2.1.1.3,The NASA OCE shall periodically review the project requirements mapping matrices.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-129,2.1.1.4,The NASA OCE shall authorize appraisals against selected requirements in this NPR to check compliance.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-100,2.1.1.5,The NASA OCE and Center training organizations shall provide training to advance software engineering practices.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-098,2.1.1.6,The NASA OCE shall maintain an Agency-wide process asset library of applicable best practices and process templates for all size projects.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-208,2.1.2.2,"The NASA Chief, SMA shall lead and maintain a NASA Software Assurance and Software Safety Initiative to advance software assurance and software safety practices.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-209,2.1.2.3,"The NASA Chief, SMA shall periodically benchmark each Center’s software assurance and software safety capabilities against the NASA-STD-8739.8, NASA Software Assurance and Software Safety Standard.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-212,2.1.2.4,"The NASA Chief, SMA shall periodically review the project’s requirements mapping matrices.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-221,2.1.2.5,"The NASA Chief, SMA shall authorize appraisals against selected requirements in this NPR to check compliance.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-222,2.1.2.6,"The NASA Chief, SMA shall provide for software assurance training.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-223,2.1.2.7,"The NASA Chief, SMA shall make the final decision on all proposed tailoring of SWE-141, the Independent Verification and Validation (IV&V) requirement.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-003,2.1.5.2,"Center Director, or designee, shall maintain, staff, and implement a plan to continually advance the Center’s in-house software engineering capability and monitor the software engineering capability of NASA’s contractors.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-005,2.1.5.3,"Center Director, or designee, shall establish, document, execute, and maintain software processes per the requirements in this directive.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-140,2.1.5.4,"Center Director, or designee, shall comply with the requirements in this directive that are marked with an “X” in Appendix C.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-095,2.1.5.5,"The Center Director, or designee, shall report on the status of the Center’s software engineering discipline, as applied to its projects, upon request by the OCE, OSMA, or OCHMO.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-006,2.1.5.6,"Center Director, or designee, shall maintain a reliable list of their Center’s programs and projects containing Class A, B, C, and D software. The list should include:",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-091,2.1.5.7,"For Class A, B, and C software projects, the Center Director, or designee, shall establish and maintain a software measurement repository for software project measurements containing at a minimum:",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-092,2.1.5.8,"For Class A, B, and C software projects, the Center Director, or designee, shall utilize software measurement data for monitoring software engineering capability, improving software quality, and to track the status of software engineering improvement activities.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-142,2.1.5.10,"For Class A, B, and C software projects, each Center Director, or designee, shall establish and maintain software cost repository(ies) that contains at least the following measures:",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-144,2.1.5.11,"Each Center Director, or designee, shall contribute applicable software engineering process assets in use at his/her Centers to the Agency-wide process asset library.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-153,2.1.5.12,The designated ETA(s) shall define the content requirements for software documents or records.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-215,2.1.5.13,"The Center Director, or designee, shall ensure that the Government has clear rights in the software, a Government purpose license, or other appropriate license or permission from third party owners prior to providing the software for internal NASA software sharing or reuse.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-216,2.1.5.14,"The Center Director, or designee, shall ensure that all software listed on the internal software sharing or reuse catalog(s) conforms to NASA software engineering policy and requirements.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-217,2.1.5.15,"The Center Director, or designee, (e.g., the Civil Servant Technical Point of Contact (POC) for the software product) shall perform the following actions:",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-214,2.1.5.16,"The Center Director or designee (e.g., the Civil Servant Technical POC for the software product) shall perform the following actions for each type of internal NASA software transfer or reuse:",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-218,2.1.7.1,"Contracting Officers, as defined in FAR 2.101, or Agreement Managers as defined in NAII 1050.3, NASA Partnership Guide, in conjunction with Program/Project Managers shall ensure that the appropriate FAR, NFS, and other provisions/clauses based on this requirements document and NASA-STD-8739.8 are included for all NASA contracts, Space Act Agreements, cooperative agreements, partnership agreements, grants, or other agreements pursuant to which software is being acquired, developed, modified, operated, or managed for NASA.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-126,2.1.8.2,The technical and institutional authorities for requirements in this directive shall:,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-150,2.2.7,"The engineering, CIO, and SMA authorities shall review and agree with any tailored NPR 7150.2 requirements per the requirements mapping matrix authority column.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-021,2.2.8,"If a system or subsystem development evolves to meet a higher or lower software classification as defined in Appendix D, then the project manager shall update their plan(s) and initiate modifications to any supplier contracts to fulfill the applicable requirements per the Requirements Mapping Matrix in Appendix C with approved tailoring.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-033,3.1.2,The project manager shall assess options for software acquisition versus development.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-013,3.1.3,"The project manager shall develop, maintain, and execute software plans, including security plans, that cover the entire software life cycle and, as a minimum, address the requirements of this directive with approved tailoring.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-024,3.1.4,The project manager shall track the actual results and performance of software activities against the software plans.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-034,3.1.5,The project manager shall define and document the acceptance criteria for the software.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-036,3.1.6,"The project manager shall establish and maintain the software processes, software documentation plans, list of developed electronic products, deliverables, and list of tasks for the software development that are required for the project’s software developers, as well as the action required (e.g., approval, review) of the Government upon receipt of each of the deliverables.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-037,3.1.7,The project manager shall define and document the milestones at which the software developer(s) progress will be reviewed and audited.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-039,3.1.8,"The project manager shall require the software developer(s) to periodically report status and provide insight into software development and test activities; at a minimum, the software developer(s) will be required to allow the project manager and software assurance personnel to:",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-040,3.1.9,"The project manager shall require the software developer(s) to provide NASA with software products, traceability, software change tracking information, and nonconformances in electronic format, including software development and management metrics.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-042,3.1.10,The project manager shall require the software developer(s) to provide NASA with electronic access to the source code developed for the project in a modifiable format.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-139,3.1.11,The project manager shall comply with the requirements in this NPR that are marked with an “X” in Appendix C consistent with their software classification.,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-121,3.1.12,"Where approved, the project manager shall document and reflect the tailored requirement in the plans or procedures controlling the development, acquisition, and deployment of the affected software.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-125,3.1.13,"Each project manager with software components shall maintain a requirements mapping matrix or multiple requirements mapping matrices against requirements in this NPR, including those delegated to other parties or accomplished by contract vehicles or Space Act Agreements.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-027,3.1.14,"The project manager shall satisfy the following conditions when a COTS, GOTS, MOTS, OSS, or reused software component is acquired or used:",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-015,3.2.1,"To better estimate the cost of development, the project manager shall establish, document, and maintain:",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-151,3.2.2,The project manager’s software cost estimate(s) shall satisfy the following conditions:,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-174,3.2.3,"The project manager shall submit software planning parameters, including size and effort estimates, milestones, and characteristics, to the Center measurement repository at the conclusion of major milestones.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-016,3.3.1,The project manager shall document and maintain a software schedule that satisfies the following conditions:,NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-018,3.3.2,"The project manager shall regularly hold reviews of software schedule activities, status, performance metrics, and assessment/analysis results with the project stakeholders and track issues to resolution.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-046,3.3.3,"The project manager shall require the software developer(s) to provide a software schedule for the project’s review, and schedule updates as requested.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-017,3.4.1,"The project manager shall plan, track, and ensure project specific software training for project personnel.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-020,3.5.1,"The project manager shall classify each system and subsystem containing software in accordance with the highest applicable software classification definitions for Classes A, B, C, D, E, and F software in Appendix D.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
SWE-176,3.5.2,"The project manager shall maintain records of each software classification determination, each software Requirements Mapping Matrix, and the results of each software independent classification assessments for the life of the project.",NPR 7150.2D,https://swehb.nasa.gov/spaces/SITE/pages/123601159/NPR%2B7150.2D
